,,Action,Adventure,Casual,Education,Indie,RPG,Racing,Simulation,Sports,Strategy
0,Topic 1,gta,story,car,guess,fun,enjoyable,win,loot,act,card
1,,war,character,card,win,balance,choice,save,card,seriously,match
2,,saint,atmosphere,building,refund,make,quest,campaign,building,incredible,win
3,,row,achievement,achievement,uplay,challenge,voice,car,spend,really,potential
4,,cod,realistic,repetitive,wizard,really,atmosphere,battle,really,brilliant,computer
5,,borderland,combat,explore,skin,great,character,feature,great,happen,challenge
6,Topic 2,xbox,weapean,place,direction,story,explore,option,ride,boring,story
7,,controller,level,voice,sense,building,dungeon,purchase,ability,league,battle
8,,amd,challenge,choice,number,thing,survival,rust,monster,spawn,portal
9,,drive,gta,quest,ace,art,space,console,survival,thing,war
10,,setting,pvp,space,percent,kid,place,moment,boss,pack,tank
11,,nvidia,hour,click,request,hour,idea,mind,attack,hour,hour
12,Topic 3,ign,screen,bot,island,war,addictive,look,feature,boring,replay
13,,potential,graphic,boring,check,city,hero,diablo,feel,waste,ai
14,,download,bug,walk,difficulty,doom,perfect,ride,hero,wake,simulator
15,,fast,mechanic,mind,scroll,prison,funny,honestly,variety,card,fly
16,,ban,gtx,solve,keeper,empire,boring,feel,way,character,resource
17,,class,load,tower,plus,character,horror,character,character,car,ton
18,Topic 4,join,win,excellent,spooky,relax,novel,dollar,dialogue,idea,potential
19,,character,survival,favorite,fly,minecraft,ending,terrarium,stealth,win,content
20,,hit,shoot,potential,galaxy,think,write,drive,solve,drive,think
21,,pick,war,relax,edition,character,humor,stupid,favorite,enjoyable,defense
22,,join,tank,option,complain,civilization,story,engine,use,excellent,use
23,,pvp,battlefront,element,stand,computer,sandbox,light,title,level,attack
24,Topic 5,hard,music,telltale,battle,level,click,controller,truck,setting,hit
25,,original,aoe,novel,awful,people,button,graphic,race,speed,battle
26,,dificult,style,console,boss,waste,click,laggy,unit,shoot,require
27,,hacker,lag,optimize,campaign,setting,key,worth,upgrade,graphic,grind
28,,skill,account,date,deep,refund,menu,screen,vehicle,class,half
29,,sandbox,soundtrack,smooth,hallucination,graphic,press,duty,physic,ship,alien
