,Action,Adventure,Casual,Education,Indie,RPG,Racing,Simulation,Sports,Strategy
0,fallout,computer,car,dlcs,war,difficulty,card,saint,card,fallout
1,gta,card,card,home,star,choice,save,stanley,portal,vega
2,war,screen,alot,win,civ,enjoyable,option,row,arma,creed
3,saint,load,ing,war,lego,voice,battle,parable,alot,skyrim
4,row,lag,hacker,guess,space,difficult,strategy,poker,hell,elder
5,cod,refund,building,hilarious,classic,adventure,feature,whit,awful,bethesda
6,park,setting,alpha,interface,perfect,atmosphere,able,jogo,coop,oblivion
7,south,download,truck,number,absolutely,perfect,difficulty,um,half,scroll
8,borderland,window,rust,bicycle,simulator,absolutely,shoot,oregon,resident,assassin
9,skyrim,patch,suck,ride,age,space,enjoyable,que,space,morrowind
10,soul,low,city,miss,favorite,lack,setting,le,realistic,truck
11,xbox,gtx,simulator,replace,strategy,idea,click,amzing,car,duke
12,bethesda,launch,fallout,instead,total,place,create,pew,win,splinter
13,dark,ram,guy,achievement,city,second,second,gta,download,simulator
14,controller,unplayable,gta,week,empire,dark,idea,gud,check,nv
15,classic,waste,survival,keeper,prison,set,campaign,rectangle,addictive,ac
16,creed,arkham,arma,stock,bring,quest,win,splitscreen,evil,nukem
17,duty,account,civ,ambition,guy,shoot,place,et,extremely,cell
18,vega,file,dayz,army,kid,option,ai,da,physic,ets
19,arma,ing,drive,random,doom,able,war,est,ive,rome
20,doom,performance,download,thats,terrarium,read,mind,evoland,slow,pls
21,star,wont,thats,computer,person,hit,difficult,centauri,enjoyable,stalker
22,favorite,uplay,overwatch,custom,recomend,explore,purchase,di,classic,jedi
23,campaign,port,feature,unlock,yes,solid,person,mais,wrong,pubg
24,total,error,pvp,ability,platformer,boring,moment,koei,isnt,ezio
25,funny,batman,month,audio,minecraft,strategy,set,игра,totally,brotherhood
26,black,buggy,able,alot,wonderful,ship,decent,gat,instead,chao
27,ac,overwatch,ok,peasant,create,achievement,absolutely,syberia,dead,sc
28,rome,mac,win,disorient,relax,watch,choice,longest,achievement,shogun
29,mafia,fine,potential,lsd,civilization,save,hit,se,save,tw
30,enjoyable,south,portal,adventure,computer,war,mmo,blah,save,ram
31,choice,park,south,area,window,civ,trench,talos,ok,ban
32,difficulty,episode,park,shoot,lag,alot,controller,kombat,terrible,que
33,difficult,игра,hitman,boring,screen,city,queue,hot,age,account
34,voice,не,war,yes,load,strategy,torchlight,mortal,fast,arkham
35,strategy,broforce,duke,enjoyable,download,fast,console,homestuck,favorite,gtx
36,option,на,alot,garbage,refund,portal,waste,не,lack,ghz
37,adventure,sherlock,wow,refund,setting,addictive,shot,xenoverse,guy,uplay
38,space,что,limbo,example,waste,building,marine,defo,low,naruto
39,absolutely,telltale,rts,window,ing,class,hte,nier,rts,jogo
40,set,holmes,star,ace,low,rust,uncle,trucking,setting,intel
41,perfect,это,hot,halo,gtx,dungeon,math,warz,pro,amd
42,quest,season,nukem,blow,ram,win,gam,игра,click,um
43,lack,но,ing,duty,card,rts,coaster,recomend,sonic,gb
44,save,dante,rome,draw,unplayable,battle,recomend,на,war,rockstar
45,atmosphere,clementine,addict,request,launch,unit,dragon,litle,port,arma
46,second,risen,absolution,load,patch,survival,suck,scenary,voice,batman
47,idea,evoland,jedi,fantasy,port,star,diablo,southpark,sad,da
48,battle,le,realy,save,account,saint,horde,что,ai,openiv
49,click,und,kong,kinda,suck,total,ride,automaton,fallout,ddr
50,excellent,dmc,counter,gu,file,row,honestly,lol,waste,ssd
51,solid,ist,yes,force,wont,dayz,felt,sherlock,classic,geforce
52,ship,artifex,empire,piece,error,campaign,warfare,lad,campaign,lag
53,feature,mundi,kid,chaos,buggy,favorite,ac,mahjong,alot,en
54,decent,et,storyline,left,ive,pvp,rip,omg,improve,joker
55,card,tim,golf,previous,fallout,ton,transaction,nidhogg,kinda,el
56,place,nep,reccomend,darn,laggy,civilization,probally,holmes,solid,cpu
57,able,neptunia,cod,destroy,doesnt,match,cough,smite,tho,se
58,achievement,jeu,hong,act,uplay,empire,write,blockland,stay,com
59,read,toby,humor,absolutely,mac,hero,weps,dolphin,act,nba
60,truck,car,enjoyable,extra,choice,tower,ive,enjoyable,difficulty,controller
61,batman,shoot,difficulty,card,difficulty,lego,alot,choice,quest,voice
62,ram,win,difficult,act,enjoyable,defense,terrarium,difficult,ship,absolutely
63,gtx,alot,choice,fine,difficult,que,city,fast,dark,choice
64,arkham,ing,voice,hate,quest,td,ing,option,adventure,enjoyable
65,lego,war,adventure,uplay,option,defence,rts,second,enjoyable,atmosphere
66,amd,guy,battle,voice,voice,jogo,reccomend,battle,controller,adventure
67,drive,gta,strategy,plus,battle,la,download,war,voice,perfect
68,setting,dead,quest,error,lack,um,slow,win,difficult,setting
69,car,survival,fast,setting,set,da,stupid,strategy,battle,save
70,gb,match,space,mistake,fast,en,dollar,able,choice,title
71,simulator,hacker,absolutely,port,decent,juego,night,idea,absolutely,option
72,nvidia,thats,set,chance,idea,el,engine,difficulty,perfect,difficult
