,Action,Adventure,Casual,Education,Indie,RPG,Racing,Simulation,Sports,Strategy
0,like,like,like,like,like,like,like,like,like,like
1,good,good,good,make,good,good,good,good,good,good
2,make,make,make,good,make,make,make,make,make,make
3,fun,fun,fun,fun,fun,fun,fun,fun,fun,fun
4,really,really,really,really,really,really,really,really,really,really
5,great,great,great,great,great,great,great,great,great,great
6,story,story,story,story,story,story,story,story,story,story
7,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy
8,thing,thing,thing,say,thing,thing,thing,thing,want,thing
9,want,want,want,bad,want,want,say,want,thing,want
10,hour,hour,say,recommend,say,say,hour,say,say,say
11,say,say,look,hour,hour,hour,want,hour,hour,hour
12,lot,look,lot,work,lot,look,look,lot,lot,lot
13,look,love,love,try,love,love,lot,feel,love,look
14,love,lot,hour,thing,look,lot,love,look,look,love
15,feel,feel,feel,feel,feel,feel,way,love,way,feel
16,character,character,recommend,love,way,character,feel,way,character,character
17,way,way,way,want,character,way,character,character,feel,recommend
18,recommend,recommend,character,gameplay,recommend,recommend,recommend,recommend,use,way
19,gameplay,gameplay,gameplay,look,gameplay,gameplay,think,gameplay,think,gameplay
20,think,think,think,people,think,think,gameplay,think,gameplay,think
21,try,try,try,need,try,try,try,try,recommend,try
22,new,new,use,way,new,new,use,use,try,new
23,use,use,new,think,use,use,new,new,level,use
24,level,level,people,character,level,people,need,people,new,people
25,people,people,level,worth,people,level,graphic,level,people,level
26,best,best,best,friend,best,best,level,best,need,best
27,player,player,graphic,come,player,player,worth,player,graphic,player
28,graphic,graphic,need,best,bad,bad,player,graphic,bad,graphic
29,bad,bad,player,new,graphic,graphic,people,bad,player,bad
